Job Name,label,Company Name,Job Type,Experience Required,Department,JD,City,Date Posted
"Full Time Microsoft Office Specialist/MOS (Word, Excel, Power Point) Jobs in Pakistan",,"KEVEREST Private Limited, Pakistan",Full Time Jobs,4 Years Job Exp.,Support Services Jobs,"Job Opportunity with KEVEREST PVT LTDPosition:02x Microsoft Office Specialist/MOS (Word, Excel, Power Point)Qualification:No limitation of qualificationExperience:No limitation of experience, if you have the skills, come join us. Must be proficient i",Lahore,20-Dec-20
Full Time Sales Coordinator Job in Pakistan,,"U Eat, Pakistan",Full Time Job,< 1 Year,IT Job,Ueat. Pk is a new startup food delivery service founded in 2019. We aim for connecting the customers to a varying range of favorite food restaurants and homemade food hubs across Pakistan.We are looking for Sales Coordinator to join our sales departm,Karachi,19-Dec-20
Full Time Creative Designer Required For A Social Media Agency Jobs in Pakistan,,"TRG Network, Pakistan",Full Time Jobs,5 Years Job Exp.,Marketing Jobs,We are seeking a Graphic Designer to join our team. You will be designing a wide variety of both digital and offline media. Maintaining a robust online presence to maintain our social media presence platforms and develop marketing materials.To be suc,Karachi,19-Dec-20
Full Time Social Media Marketing Executive Job in Pakistan,,"TRG Network, Pakistan",Full Time Job,2 Years Job Exp.,Social Services Job,We are HiringDigital marketing OfficerThe ideal candidate should have experience in the Restaurant Business industry.Job SpecificationProven working experience in the social media marketing or as a digital media specialist. &bull; Excellent consultin,Karachi,19-Dec-20
Full Time Assist. Manager Export Sales Jobs in Pakistan,,"Shafi (Pvt.) Ltd., Pakistan",Full Time Jobs,4 Years Job Exp.,Marketing Jobs,Develops sales strategies and approaches for various products and services.Answers questions from clients about product and service benefits.Maintains excellent relationships with clients through superior customer service.Note: &quot;Only the Footwea,Lahore,19-Dec-20
Full Time Wordpress Developer / Designer - Internship Opportunity Jobs in Pakistan,,"58 Studios, Pakistan",Full Time Jobs,< 1 Year,Web & E-commerce Jobs,58 Studios is looking for a internship in WordPress Development and Design. Basics of WordPress are essentialResponsibilities:Designing and implementing new features and functionality.Will be handling client&rsquo;s website directly.You&rsquo;ll also,Islamabad,19-Dec-20
Full Time Backend Developer  Job in Pakistan,,"U Eat, Pakistan",Full Time Job,5 Years Job Exp.,IT Job,"We are looking for a Back-End Web Developer is responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, definition, and maintenance of the central database",Karachi,18-Dec-20
Full Time Frontend Developer Job in Pakistan,,"U Eat, Pakistan",Full Time Job,5 Years Job Exp.,IT Job,Ueat. pk is a new startup food delivery service founded in 2019. We aim for connecting the Customers to a varying range of favorite food restaurants and homemade food hubs across PakistanWe are looking for programmers with a keen eye for design for t,Karachi,18-Dec-20
Full Time Android Developer Job in Pakistan,,"U Eat, Pakistan",Full Time Job,6 Years Job Exp.,IT Job,Ueat. pk is a new startup food delivery service founded in 2019. We aim for connecting the customers to a varying range of favorite food restaurants and homemade food hubs across Pakistan.We are looking for an Android Developer to add to our team for,Karachi,18-Dec-20
Full Time SEO Expert Job in Pakistan,Gallery Job,"WebEasy Pvt Ltd., Pakistan",Full Time Job,5 Years Job Exp.,Marketing Job,#NAME?,Lahore,18-Dec-20
Full Time Software Test Engineer Job in Pakistan,,"Systellex Inc, Pakistan",Full Time Job,5 Years Job Exp.,Computer Software Job,Job Expectations + Essential FunctionsWork in a dynamic agile software development team with very high quality standards.Create and maintain test cases. Maintain and update regression testing scripts to close test escapesParticipate in the design and,Karachi,18-Dec-20
Full Time Senior Wordpress / PHP Developer Jobs in Pakistan,Gallery Job,"WebsQue, Pakistan",Full Time Jobs,3 Years Job Exp.,Web & E-commerce Jobs,PLEASE READ ALL REQUIREMENTS BEFORE APPLYING.Looking for an experienced and passionate Senior WordPress / PHP Developer with relevant industry experience. You will be responsible for both back-end and front-end development. We are expecting you to ha,Karachi,18-Dec-20
Full Time PHP Developers (Frameworks & Core)  Job in Pakistan,,"Tricasolutions, Pakistan",Full Time Job,2 Years Job Exp.,Web & E-commerce Job,"We are looking for a talented, PHP Software Developer. In this role, you will be developing, supporting, maintaining, and debugging client-related web development projects. The ideal candidate is a highly motivated, resourceful, self-starter capable",Lahore,18-Dec-20
Full Time Business Development Trainee & Sales Executives Jobs in Pakistan,,"3R Marketing & Builders Pvt Ltd, Pakistan",Full Time Jobs,Job for Fresh Graduates,Sales Jobs,We are Hiring a Female Staff as Business Development Trainee &amp; Sales Executive.Become a part of the 3R Marketing family.,Multan,18-Dec-20
Online Full Time Marketing Manager Job in Pakistan,,"Thathialah Builders, Pakistan",Full Time Job,< 1 Year,Construction Job,"1. Facebook, Google marketing.2. Contact customer.3. Meeting scheduled.4. Little bit knows AutoCAD or rivit.",Lahore,18-Dec-20
Full Time PHP Developers (Frameworks & Core) Job in Pakistan,,"TricaSol, Pakistan",Full Time Job,1 Year Job Exp.,Web & E-commerce Job,"We are looking for a talented, PHP Software Developer. In this role, you will be developing, supporting, maintaining, and debugging client-related web development projects.The ideal candidate is a highly motivated, resourceful, self-starter capable o",Lahore,18-Dec-20
Full Time Senior Spare Parts Executive Job in Pakistan,,"Changan Gul Motors, Pakistan",Full Time Job,3 Years Job Exp.,Autos Job,Maintains database by entering new and updated parts inventory information.Ensure Minimum Inventory available.Procure Parts Locally if needed.Procure Parts from OEM as needed.Ensure Location Marking and Maintain 5S in Warehouse Operations.,Karachi,17-Dec-20
Full Time Receptionist Job in Pakistan,,"Aslam Energy (Pvt.) Limited, Pakistan",Full Time Job,< 1 Year,Oil & Gas Job,Proficient in Microsoft OfficeComfortable multi-tasking and prioritizing tasks without guidance.Excellent interpersonal skills,Gujranwala,17-Dec-20
Full Time Paid Internship Opportunity In Pharmaceutical Industry Job in Pakistan,,"ChemiRX, Pakistan",Full Time Job,Job for Fresh Graduates,Admin Job,PAID INTERNSHIP OPPORTUNITY IN PHARMACEUTICAL INDUSTRYChemiRX is looking for Internees for their office in Rawalpindi.Send your resume now.,Islamabad,17-Dec-20
Full Time Front Desk Officer / Receptionist Job in Pakistan,Hot Job,"BigCareer Pvt Ltd, Pakistan",Full Time Job,< 1 Year,Admin Job,"We are an equal opportunity employer. However, for this position we encourage Female candidates to apply.Responsible for handling front office reception and administration duties,Including greeting guests and offering them a beverage,Answering phones",Lahore,17-Dec-20
Full Time Office Assistant / Secretary  Job in Pakistan,,"RingMD International, Pakistan",Full Time Job,Job for Students,Hospitality Job,"Looking for a secretary for my daily routine tasks, the job responsibility will be to keep a track on my emails, files and calls that I have to receive from my clients.Looking for a decent and modern young who is willing to improve the work environme",Lahore,17-Dec-20
Full Time DAE Metallurgy  Job in Pakistan,,"Vertex Electronics (Pvt.) Ltd., Pakistan",Full Time Job,1 Year Job Exp.,Production Job,DAE Metallurgy Engineer required to work in Galvanizing Department and knows how toCreating precise designs for componentsDevelop prototypes and innovative solutions to problemsInvestigate corrosion and metal failure/fatigueSupervise engineering and,Lahore,17-Dec-20
Online Full Time PHP Web Developer Job in Pakistan,Gallery Job,"Citologic Solutions, Pakistan",Full Time Job,< 1 Year,IT Job,Note: Full time Remote/Home-based job requires atleast 7 hours a day and 5 days a weekWe are looking for the services of PHP Developer.Web developer will be working on Frontend &amp; Backend.,Islamabad,17-Dec-20
Full Time Content Writer / Blogger Job in Pakistan,,"Esox Studio, Pakistan",Full Time Job,< 1 Year,Computer Software Job,Looking for a content writer and blogger who has Good English writing Skills for1. Engaging blogs for multiple niches2. Website Content Writing3. Social media copywriting4. Research-based content,Islamabad,16-Dec-20
Full Time Accountant Job in Pakistan,,"Gravittanica Academy, Pakistan",Full Time Job,4 Years Job Exp.,Education Job,Accountant required in reputed school in lahore.Salary 20 to 25 K.Applicant should be experienced.,Lahore,16-Dec-20
Full Time Email & Live Chat Support Agent Jobs in Pakistan,,"Muizzo Tech, Pakistan",Full Time Jobs,< 1 Year,Customer Service Jobs,"Chat agents are excellent communicators with a passion for customer service. Depending on the company they work for, chat agents may also be required to be knowledgeable in certain areas of specialization, such as e-commerce or software. Employers te",Lahore,16-Dec-20
Full Time Senior Laravel / Lumen Developer Jobs in Pakistan,,"In-TechGaints, Pakistan",Full Time Jobs,2 Years Job Exp.,IT Jobs,Looking for a full-time/part-time job?Join us if you have expertise in Laravel or Lumen. In-TechGiants is looking to hire a highly motivated Laravel/Lumen Developer to join our team and help improve our client deliverable.Responsibilities:Understandi,Lahore,16-Dec-20
Full Time .Net Developer Job in Pakistan,,"Elinx Technologies, Pakistan",Full Time Job,3 Years Job Exp.,Web & E-commerce Job,Australian company having development center based in DHA Lahore is looking for .Net and React developers with following skillset. Selected applicants will have an opportunity to work on world class applications with users in Australia and North Amer,Lahore,16-Dec-20
Full Time React Developers Job in Pakistan,,"Elinx Technologies, Pakistan",Full Time Job,2 Years Job Exp.,Web & E-commerce Job,"Australian company having development center based in DHA Lahore is looking for React developers with following skillset.Selected applicants will have an opportunity to work on world class applications with users in Australia and North America.
Salar",Lahore,16-Dec-20
Full Time ATS And Diesel Generator Electrician Jobs in Pakistan,Hot Job,"Myson Engineering Systems Pvt Ltd., Pakistan",Full Time Jobs,3 Years Job Exp.,Engineering Jobs,"Myson Engineering Systems, a leading Telecom Infrastructure Solution provider in Pakistan is looking for committed, target-oriented and dynamic staff for Karachi Region.Position: ATS and Diesel Generator ElectricianExperience above 3 years, in ATS (O",Karachi,16-Dec-20
Full Time Diesel Generators Mechanic Jobs in Pakistan,Hot Job,"Myson Engineering Systems Pvt Ltd., Pakistan",Full Time Jobs,3 Years Job Exp.,Engineering Jobs,"Myson Engineering Systems, a leading Telecom Infrastructure Solution provider in Pakistan is looking for committed, target-oriented and dynamic staff for Karachi Region.",Karachi,16-Dec-20
Full Time IOS Developer Job in Pakistan,,"AA Logics Pvt Ltd., Pakistan",Full Time Job,3 Years Job Exp.,Engineering Job,"AALogics is looking for IOS Developer who possesses a passion for pushing mobile technologies to the limits.
Qualification : BSCS
Experience : 3-4 Years
Location : Karachi, Pakistan
Intrested candidate forward their resumes now",Karachi,16-Dec-20
Full Time SEO & Content Specialist  Job in Pakistan,,"AA Logics Pvt Ltd., Pakistan",Full Time Job,5 Years Job Exp.,Marketing Job,"AALogics Pvt Ltd is looking for &quot;SEO Specialist&quot; experienced in both on-site off-site SEO , willing to do blog writing, content creation will be a plus.
Qualification : Graduate
Experience : 5 Years
intrested candidate forward their resumes",Karachi,16-Dec-20
Full Time Customer Support Specialist - International Jobs in Pakistan,Premium Job,"ibex, Pakistan",Full Time Jobs,Job for Students,Customer Service Jobs,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Location: Karachi, Lahore &",Islamabad,16-Dec-20
Online Full Time Laravel Experienced Developer Jobs in Pakistan,,"Interactive Tech Solutions, Pakistan",Full Time Jobs,2 Years Job Exp.,Web & E-commerce Jobs,We are hiring expereinced Laravel developers full time and remote.Salary depeding upon your skills upto 70k.Food plus Residence is available for selected developers!,Lahore,16-Dec-20
Full Time Full Stack Web Developer (ASP.Net) LINQ To SQL (TAXILA) Job in Pakistan,,"Spearas, Pakistan",Full Time Job,4 Years Job Exp.,Computer Software Job,"The Developer will work on high-performing, scalable, enterprise-grade applications. The ideal candidate would have heavy experience with SQL, SOAP and RESTful Web Service development, and Web Application / UI Development &ndash; all on the .NET Stac",Hasan Abdal,16-Dec-20
Full Time Senior Graphic Designer Job in Pakistan,,"Wurfel IT, Pakistan",Full Time Job,2 Years Job Exp.,Computer Software Job,"Need an enthusiast who can Become part of our Creative Team if you have created designs for Social Media, Designed Logos, UI/UXDesigns, Edited Videos etc.Using
Adobe Illustrator
Adobe Photoshop
Adobe XD
Adobe PremierPlease share your portfolio, your",Islamabad,16-Dec-20
"Full Time Manager Accounts, Finance & Taxation Job in Pakistan",,"FAKT Exhibitions Pvt. Ltd., Pakistan",Full Time Job,3 Years Job Exp.,Marketing Job,"Job DescriptionManager Accounts, Finance &amp; TaxationFAKT EXHIBITIONS (PVT) LTD &mdash; KarachiRs 40,000 - Rs 65,000 per monthDescribe the responsibilities of this job, required work experience, skills, or education.*BIPREFER ACCA AND MBA IN FINANC",Karachi,16-Dec-20
Full Time Medical Research Writer Jobs in Pakistan,,"eGeeks, Pakistan",Full Time Jobs,1 Year Job Exp.,Education Jobs,"The Medical Research Writer creates and edits all documents associated with clinical research/Health care.Functional Area:Medical, Healthcare, Research &amp; Development, Pharmaceuticals, Biotechnology, Nursing",Islamabad,16-Dec-20
Full Time Full Slack Web Developer Jobs in Pakistan,,"eGeeks, Pakistan",Full Time Jobs,< 1 Year,Web & E-commerce Jobs,"We are hiring for Full Slack Web Developers ( Frontend and Backend)Duties:
- Regular communication with team members and project manager.
- Make changes to existing websites.
- Building out pre-designed websites.
- Debugging and securing code.
- Upda",Islamabad,16-Dec-20
Full Time Team Coordinator Jobs in Pakistan,,"eGeeks, Pakistan",Full Time Jobs,< 1 Year,Admin Jobs,"We are looking for a result-driven Team Coordinator to be responsible for monitoring and supervising a team of writers to achieve the organization&rsquo;s objectives. You will be responsible for providing guidance, instruction and leadership skills t",Islamabad,16-Dec-20
Full Time Business Development Officers For Sales Department Jobs in Pakistan,,"eGeeks, Pakistan",Full Time Jobs,Job for Fresh Graduates,Sales Jobs,We are a software solution services company and are looking for Business Development Officers for our Sales Department. You will be required to manage online portals and will also be responsible for managing the entire bid process.Responsibilities in,Islamabad,16-Dec-20
Full Time Admin Manager Job in Pakistan,,"Khurshid Textiles, Pakistan",Full Time Job,5 Years Job Exp.,HR & Recruiting Job,"Maintains administrative staff by recruiting, selecting, orienting, and training employees.Supervises clerical and administrative personnel by communicating job expectations, appraising job results, and disciplining employees.Sets policies and proced",Lahore,15-Dec-20
Full Time Graphic Designer Job in Pakistan,,"Esox Studio, Pakistan",Full Time Job,< 1 Year,Computer Software Job,Looking for a creative graphic designer who has hands-on the tools1. Adobe illustrator2. Adobe photoshop3. Adobe XD and Figma (Optional)4. Adobe premiere pro (Optional),Islamabad,15-Dec-20
"Online Full Time Internship In Word Press, SEO And Content Writer Job in Pakistan",,"AS Marketing, Pakistan",Full Time Job,< 1 Year,Web & E-commerce Job,Job Descriptions are:1. Web development2. SEO3. Content Writing,Lahore,15-Dec-20
Full Time Internee (Finance) Jobs in Pakistan,Gallery Job,"Muhammad Associates (Private) Limited, Pakistan",Full Time Jobs,< 1 Year,Accounting Jobs,"The company requires the services of Fresh Graduates and Under Graduates, ACCA/CA/ICMA part qualified candidates on initially internship leading to permanant job.The individual must be confident, hardworking and punctual.Must have ability to manage t",Islamabad,15-Dec-20
Full Time Senior PHP Developer Job in Pakistan,,"Devbunch Pvt Ltd, Pakistan",Full Time Job,2 Years Job Exp.,Computer Software Job,"1) Coordinating and participating in the programming, implementation, testing, and support of web-based projects using the LAMP solution stack of software2) Programming, developing and producing data-driven web applications, websites, and mobile apps",Lahore,15-Dec-20
Full Time Senior PHP (Laravel)  Developer Jobs in Pakistan,Gallery Job,"Mwan Mobile, Pakistan",Full Time Jobs,5 Years Job Exp.,IT Jobs,"MWAN Mobile currently has an exciting opportunity for a Senior Software Developer who has hands on experience in development of IT systems against agreed scope and requirements, designing, developing and installing software solutions and supporting t",Islamabad,15-Dec-20
Full Time Tele Sales Executive Jobs in Pakistan,,"Al Wafiq Global Pvt Ltd, Pakistan",Full Time Jobs,< 1 Year,Customer Service Jobs,"A Reputable Dubai based company is hiring &quot;Tele Sales Executives&quot; in Consumer Department.Requirements:
Person should be confident and have skills to connect with the customers internationally.
Applicant must have strong communication skills",Karachi,15-Dec-20
Full Time Magento Developer Jobs in Pakistan,,"Aubzarve, Pakistan",Full Time Jobs,2 Years Job Exp.,Web & E-commerce Jobs,Magento developers neededDynamologic Solutions is seeking a Magento Developer who will be responsible for the development and implementation of scalable yet high performing Magento eCommerce stores and marketplaces.Job Responsibilities:Your job respo,Bahawalnagar,15-Dec-20
Online Full Time SEO Specialist / Content Writer Jobs in Pakistan,,"Aubzarve, Pakistan",Full Time Jobs,3 Years Job Exp.,Web & E-commerce Jobs,Responsibilities for SEO SpecialistDevelop optimization strategies that increase the company&#39;s search engine results rankingsResearch SEO keywords to use throughout the company&#39;s website and marketing materialsSet measurable goals that demons,Hyderabad,15-Dec-20
Full Time Receptionist - Front Desk Officer Job Job in Pakistan,Gallery Job,"Zam Software Solutions, Pakistan",Full Time Job,1 Year Job Exp.,Support Services Job,"A Receptionist who can also assist in administrative/HR tasks, with a good communication skills to organise and handle tasks. Female candidates are encouraged to apply.",Islamabad,15-Dec-20
Full Time PHP Developers (Frameworks & Core) Job in Pakistan,,"DeDevelopers Ltd., Pakistan",Full Time Job,2 Years Job Exp.,IT Job,"We are looking for a talented, PHP Software Developer. In this role, you will be developing, supporting, maintaining, and debugging client-related web development projects. The ideal candidate is a highly motivated, resourceful, self-starter capable",Lahore,15-Dec-20
Full Time Hybrid Mobile Application / JS Developer Job in Pakistan,,"DeDevelopers Ltd., Pakistan",Full Time Job,2 Years Job Exp.,IT Job,"DeDevelopers is looking for an experienced Hybrid Application Developer (React Native, Expo, Flutter, Ionic) who can work independently (writing PHP API or Firebase) or can work with a team as well.As a Hybrid Application Developer, you will be invol",Lahore,15-Dec-20
Full Time REACT Native Developer Job in Pakistan,,"M Techhub Pvt. Ltd., Pakistan",Full Time Job,< 1 Year,IT Job,"We need the React Native developer to have in-depth knowledge of the relevant technology core concepts and frameworks, have strong debugging and problem-solving skills, lead a team of developers, manage a product lifecycle and be able to work under t",Islamabad,15-Dec-20
Full Time MERN Developer Job in Pakistan,,"M Techhub Pvt. Ltd., Pakistan",Full Time Job,< 1 Year,IT Job,"M TECHUB PVT LTD. is looking for a Full Stack Web Developer (MERN Stack) to join our in-house team. The ideal candidate is a self-motivated, multi-tasker, and demonstrated team-player. This is an internship leading towards a job post.Job Responsibili",Islamabad,15-Dec-20
Full Time Telesale Executive Jobs in Pakistan,,"Aircell.com, Pakistan",Full Time Jobs,Job for Fresh Graduates,Marketing Jobs,Looking for Female Telesales Executive for Consumer Services.Job role:Sell DU Consumer Postpaid/ Prepaid Plans for Individuals.Candidates should be competent in English.Candidates should be Presentable.English plus Arabic speaking candidates also wel,Lahore,15-Dec-20
Full Time SEO Link Builder Job in Pakistan,,"MindWhiz, Pakistan",Full Time Job,< 1 Year,IT Job,We&#39;re looking for a link builder with more than 6 months of experience.You must know about the below-mentioned topics:BookmarkingArticle submissionWeb 2.0Image sharingVideo SharingClassified ad submissionPPT/PDF submissionBusiness Listing.,Lahore,15-Dec-20
Full Time Full Stack Web Developer  Vuejs / PHP Laravel Jobs in Pakistan,Gallery Job,"Xtendum Services Pvt. Ltd., Pakistan",Full Time Jobs,2 Years Job Exp.,Computer Software Jobs,Are you a professional Full-Stack Developer for web applications?Are you able and ambitious to write clean code with as few lines as possible?Are you familiar with and constantly learning about new frameworks and best practices?Can you prove your exp,Islamabad,15-Dec-20
Full Time Data Entry Operator Job in Pakistan,Gallery Job,"All World Books, Pakistan",Full Time Job,< 1 Year,Web & E-commerce Job,Our company looking for a data entry person who has experience entering data online. Google search and good command of internet technologies. Previously work online to enter data on a live website. Knowledge of MS Word and Excel is a plus. Good comma,Lahore,15-Dec-20
Full Time Telesales Representative Job in Pakistan,Hot Job,"Wise Marketing, Pakistan",Full Time Job,Job for Fresh Graduates,Customer Service Job,We are looking for an enthusiastic Telesales Representative to contribute in generating sales for our company. You will be responsible for closing sales deals over the phone and maintaining good customer relationships.Requirements Candidate must have,Lahore,14-Dec-20
Full Time AM International Regulatory Job in Pakistan,,"Pacific Pharmaceuticals Ltd, Pakistan",Full Time Job,4 Years Job Exp.,Production Job,"Knowledge of ICH and WHO guidelinesHand on experience of dossier preparation in CTD, ECD, MHRA formatsLiaison with DRAP personals &amp; queriesExposure of product registration in Europ, Latin America etcANalytical approach of stability studies of dif",Lahore,14-Dec-20
Full Time Accounts Executive Job in Pakistan,,"Eminence Systems Pvt Limited, Pakistan",Full Time Job,1 Year Job Exp.,Supply Chain Job,"Job DescriptionWe need a well-mannered and detail oriented Accounts Executive. Who must be MBA/ BBA or B-Com Degree with the interest of learning Accounting and Supply-chain, 1-2 years&rsquo; experience is a bonus. Fresh Candidates can also be consid",Islamabad,14-Dec-20
Full Time Javascript Developer Job in Pakistan,,"Grayphite, Pakistan",Full Time Job,1 Year Job Exp.,Web & E-commerce Job,"Grayphite is looking for an experienced Javascript Developer.Must Haves:Candidate should have strong basics concepts i.e. OOP, Data Structures, DatabasesCandidate should be fluent with Javascipt basics.Web development experience atleast one year.One",Faisalabad,14-Dec-20
Full Time Regional Sales Executive Job in Pakistan,,"ZKTeco, Pakistan",Full Time Job,3 Years Job Exp.,Sales Job,"Job Responsibilities:
1. Responsible for CCTV products sales in Karachi and other southern cities;
2. Exploit the market, develop customers, and increase the scope of product sales;
3. Maintain and enhance existing customer relationships;
4. Complete",Karachi,14-Dec-20
Full Time PCR Application & Sales Executive Jobs in Pakistan,Gallery Job,"Med Lab Services, Pakistan",Full Time Jobs,3 Years Job Exp.,Pharma & Biotechnology Jobs,Performing RealTime PCR experiment in companys QC laborataryPerforming RealTime PCR experiment in customers laborataryAnalyzing RealTime PCR experiment resultsTroubleshooting RealTime PCR and providing technical assistance to customersPCR product dem,Islamabad,14-Dec-20
Full Time Sales Specialist Jobs in Pakistan,,"Leaders BPO, Pakistan",Full Time Jobs,< 1 Year,Sales Jobs,"Timing: Night ShiftFixed-Salary: Rs/-15,000-Rs/-25,000Training: PaidMedical InsuranceProvident FundPaid Casual/Medical LeavesGender: Male/FemaleMinimum Intermediate in EducationTotal Positions: 40",Islamabad,14-Dec-20
Online Full Time Graphic Designer And Front-End Web Developer Jobs in Pakistan,Gallery Job,"Dynamosys, Pakistan",Full Time Jobs,1 Year Job Exp.,Computer Software Jobs,"Analyze the design and development of graphics and illustrations for use in technical materials, manuals, and publications. Operate standard computer hardware and software to prepare, revise, print, and store text, illustrations, graphs, and charts.",Islamabad,14-Dec-20
Full Time Sr. PHP Developer Job in Pakistan,,"Ax3 Systems, Pakistan",Full Time Job,4 Years Job Exp.,Computer Software Job,"Job DescriptionStrong knowledge of PHP web frameworks (such as Laravel, Codeigniter)Understanding the fully synchronous behavior of PHPUnderstanding of MVC design patternsGood understanding of front-end technologies, such as JavaScript, jQuery, HTML5",Karachi,13-Dec-20
Full Time Vendor Manager Jobs in Pakistan,Gallery Job,"Tag Choice, Pakistan",Full Time Jobs,1 Year Job Exp.,Web & E-commerce Jobs,Tag Choice is Pakistan leading online marketplace dealing with all type of daily essentials. Tag Choice is looking for a Vendor Managers to manage sellers. The e-Commerce Vendor Manager onboard new sellers in the ecommerce website for products. You w,Lahore,13-Dec-20
Full Time React Native / React Developer Jobs in Pakistan,,"DevInteract, Pakistan",Full Time Jobs,< 1 Year,Computer Software Jobs,We are looking for React Native/React Developer.Requirements:- Bachelor&#39;s or Master&#39;s degree in CS/IT/Software Engineering.- At least 1 year&#39;s post-graduation experience on developing mobile and web applications using React Native / React,Lahore,13-Dec-20
Full Time Technical Co-Founder At Startup Job in Pakistan,,"SharpRecruits, Pakistan",Full Time Job,2 Years Job Exp.,Computer Software Job,"Technical Co-Founder at StartupWe think that blockchain technology can change the world. We are a team of young and energetic individuals with passion and ethusiasm for blockchain technology, DLT and cryptocurrency.We are looking for a Technical Co-f",Lahore,13-Dec-20
Full Time Social / Digital Media Manager Job in Pakistan,Premium Job,"Khalil Ahmed Studios, Pakistan",Full Time Job,2 Years Job Exp.,IT Job,"Social Media ManagerKhalil Ahmed is an e-commerce startup in Pakistan. We design, manufacture, and sell high quality leather products via our online e-commerce shop. We believe that online shopping is the future and we&rsquo;re making a big bet on it",Lahore,13-Dec-20
Full Time Customer Sale Representative Jobs in Pakistan,,"Oxeph Communications, Pakistan",Full Time Jobs,< 1 Year,Sales Jobs,We are Looking for Fresh and Experience CSR agents with Handsome salary Package all you can Apply Male and Female Required. for Evening and Night shift...Injury Claim for UK and Auto Insurance for USA and New Project Transcription,Islamabad,13-Dec-20
Full Time Web Developer Job in Pakistan,,"Web Logo Graphics, Pakistan",Full Time Job,3 Years Job Exp.,IT Job,Looking for experience Web Developer with enriches &amp; excellent developing skills over PHP &amp; CMS like Wordpress etc. Salary depends on experience/Skill level.Job Requirements:Excellent PHP Development SkillsEcommerce &amp; CMS Web developmentW,Karachi,13-Dec-20
Full Time Graphic Designer Job in Pakistan,,"Boosters Digital, Pakistan",Full Time Job,2 Years Job Exp.,Marketing Job,"Boosters Digital is looking for Experienced Graphic Designer For Office Based in DHA Lahore.Expertise in- Social Media Designs.- Videos/ Gif Posts- Strong Aesthetics- Strong English and Urdu Communication SkillsSalary range: 30,000-60,000/-",Lahore,13-Dec-20
Full Time Video Editor Job in Pakistan,,"Murad Shoes, Pakistan",Full Time Job,1 Year Job Exp.,Education Job,Video Editor has been required by our organization to cut off video clips and can make background themes,Mardan,12-Dec-20
Full Time Business Development Executive Job in Pakistan,,"2 Do, Pakistan",Full Time Job,< 1 Year,Marketing Job,"A candidate with positive energy, good speaking skills, open to learning and know-how of computer, is required for this job position.- Executive assistance to marketing of different projects (in the services sector);- Email marketing, Linkedin, Faceb",Lahore,12-Dec-20
Full Time Psychologist Or Psychiatrist - Entry Level Job in Pakistan,,"2 Do, Pakistan",Full Time Job,< 1 Year,Healthcare Job,"Psychologist or Psychiatrist:Required Skills:- Good English Speaking;- Psycho Therapy know-how- Anger Management know-how- Good temperament, transparency- Willingness to learn new and work ethicallyJob Types: Full-time, Contract",Lahore,12-Dec-20
Online Full Time Accountant With Good English Skills Jobs in Pakistan,,"Advanced Digital Solution , Pakistan",Full Time Jobs,< 1 Year,Accounting Jobs,"&bull; Person should be located in South Lahore i.e. near Bahria Town, Valencia, Lake city, Johar town etc&bull; Virtual Accountant needed for a California based software house&bull; Must be good with English communication&bull; 1-2 years accounting",Lahore,12-Dec-20
Full Time Social Media Marketing Expert Job in Pakistan,,"Fair & White, Pakistan",Full Time Job,1 Year Job Exp.,Marketing Job,We are HiringDigital marketing OfficerThe ideal candidate should have experience in the cosmetics industries,Islamabad,12-Dec-20
Full Time Junior Financial Advisor And Senior Financial Advisors Jobs in Pakistan,,"Adamjee Business Center, Pakistan",Full Time Jobs,Job for Fresh Graduates,Marketing Jobs,We need staff the post of junior financial advisor and senior financial advisors more information contact,Bahawalnagar,12-Dec-20
Full Time Business Development Manager Jobs in Pakistan,,"Adamjee Business Center, Pakistan",Full Time Jobs,Job for Fresh Graduates,Marketing Jobs,"#Eastern_Federal_UnionRequire Sales staff for New branch.#EXPERIENCEGovernment Retired, Banking, Sales, Marketing, NGO, Life assurance and Banca assurances experience Preferred. #AVAILABLE_SALES_POSITIONS1: Sale Consultant2: Senior Sale Consultant3:",Lahore,12-Dec-20
Full Time Software Quality Assurance Engineer / SQA Engineer  Jobs in Pakistan,,"Enlyst Smart Recruiting, Pakistan",Full Time Jobs,< 1 Year,Computer Software Jobs,"Translate application storyboards and use cases into test cases.Review requirements, specifications and technical design documents to provide timely and meaningful feedback.Create detailed, comprehensive and well-structured test plans and test casesE",Lahore,11-Dec-20
Full Time International Business Development Executive Jobs in Pakistan,Premium Job,"Platinum Communications (Pvt) Limited, Pakistan",Full Time Jobs,Job for Fresh Graduates,Consulting Jobs,"Platinum Communications (Private) LimitedAt Platinum Communication employees are part of our winning strategy which is why we strive to attract and retain the very best the industry has to offer. Our employees come in many shapes and forms, but they",Lahore,11-Dec-20
Full Time Project Manager Job in Pakistan,,"Enlyst Smart Recruiting, Pakistan",Full Time Job,4 Years Job Exp.,Web & E-commerce Job,"&bull; Follow the scope of the project that goes from the proposal stage to the technical work up, and finally to the delivery of the project.
&bull; Participate in the initial conception stage along with a client in order to better meet the needs of",Lahore,11-Dec-20
